[2024-02-01 14:07:13.897]  Trade on 2023-01-20 - Signal: 0, Result: Executed Buy Order
[2024-02-01 14:07:13.898]  Trade on 2023-03-15 - Signal: 1, Result: Executed Sell Order
[2024-02-01 14:07:13.898]  Trade on 2023-03-16 - Signal: 1, Result: Executed Sell Order
[2024-02-01 14:07:13.898]  Trade on 2023-03-17 - Signal: 1, Result: Executed Sell Order
[2024-02-01 14:07:13.898]  Trade on 2023-03-18 - Signal: 1, Result: Executed Sell Order
[2024-02-01 14:07:13.898]  Trade on 2023-03-19 - Signal: 1, Result: Executed Sell Order
[2024-02-01 14:07:13.898]  Trade on 2023-03-20 - Signal: 0, Result: Executed Buy Order
[2024-02-01 14:07:13.898]  Trade on 2023-03-21 - Signal: 1, Result: Executed Sell Order
[2024-02-01 14:07:13.898]  Trade on 2023-03-22 - Signal: 1, Result: Executed Sell Order
[2024-02-01 14:07:13.898]  Trade on 2023-03-23 - Signal: 1, Result: Executed Sell Order
[2024-02-01 14:07:13.898]  Trade on 2023-03-24 - Signal: 1, Result: Executed Sell Order
[2024-02-01 14:07:13.898]  Trade on 2023-03-25 - Signal: 1, Result: Executed Sell Order
[2024-02-01 14:07:13.898]  Trade on 2023-03-26 - Signal: 1, Result: Executed Sell Order
[2024-02-01 14:07:13.898]  Trade on 2023-03-27 - Signal: 1, Result: Executed Sell Order
[2024-02-01 14:07:13.898]  Trade on 2023-03-28 - Signal: 1, Result: Executed Sell Order
[2024-02-01 14:07:13.898]  Trade on 2023-03-29 - Signal: 1, Result: Executed Sell Order
[2024-02-01 14:07:13.898]  Trade on 2023-03-30 - Signal: 1, Result: Executed Sell Order
[2024-02-01 14:07:13.898]  Trade on 2023-03-31 - Signal: 0, Result: Executed Buy Order
[2024-02-01 14:07:13.898]  Trade on 2023-04-01 - Signal: 0, Result: Executed Buy Order
[2024-02-01 14:07:13.899]  Trade on 2023-04-02 - Signal: 0, Result: Executed Buy Order
[2024-02-01 14:07:13.899]  Trade on 2023-04-03 - Signal: 0, Result: Executed Buy Order
[2024-02-01 14:07:13.899]  Trade on 2023-04-04 - Signal: 0, Result: Executed Buy Order
[2024-02-01 14:07:13.899]  Trade on 2023-04-05 - Signal: 0, Result: Executed Buy Order
[2024-02-01 14:07:13.899]  Trade on 2023-04-06 - Signal: 1, Result: Executed Sell Order
[2024-02-01 14:07:13.899]  Trade on 2023-04-07 - Signal: 1, Result: Executed Sell Order
[2024-02-01 14:07:13.899]  Trade on 2023-04-08 - Signal: 1, Result: Executed Sell Order
[2024-02-01 14:07:13.899]  Trade on 2023-04-09 - Signal: 1, Result: Executed Sell Order
[2024-02-01 14:07:13.899]  Trade on 2023-04-10 - Signal: 1, Result: Executed Sell Order
